Accuracy: 0.4653846153846154 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 10}
Accuracy: 0.7269230769230769 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 10}
Accuracy: 0.8203076923076923 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 50}
Accuracy: 0.8696923076923077 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 100}
Accuracy: 0.9103076923076923 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 250}
Accuracy: 0.9081885856079405 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 500}
Accuracy: 0.898577502899111 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 1000}
Accuracy: 0.9434568952174586 cfg =  {'model_name': 'gpt2', 'inference_max_len': 50, 'dataset_datapoints_num': 2000}
Accuracy: 0.7680769230769231 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 10}
Accuracy: 0.8489361702127659 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 50}
Accuracy: 0.8406772575250836 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 100}
Accuracy: 0.8995273794002607 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 250}
Accuracy: 0.947597215146884 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 500}
Accuracy: 0.9326204745094819 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 1000}
Accuracy: 0.9521485976709857 cfg =  {'model_name': 'gpt2', 'inference_max_len': 100, 'dataset_datapoints_num': 2000}
Accuracy: 0.292 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 10}
Accuracy: 0.412 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 50}
Accuracy: 0.4894 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 100}
Accuracy: 0.65016 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 250}
Accuracy: 0.69728 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 500}
Accuracy: 0.73338 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 1000}
Accuracy: 0.77972 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 10, 'dataset_datapoints_num': 2000}
Accuracy: 0.371 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 10}
Accuracy: 0.5466 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 50}
Accuracy: 0.5892 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 100}
Accuracy: 0.68744 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 250}
Accuracy: 0.74776 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 500}
Accuracy: 0.7901601601601601 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 1000}
Accuracy: 0.7961111111111111 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 20, 'dataset_datapoints_num': 2000}
Accuracy: 0.4126666666666667 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 10}
Accuracy: 0.5865333333333334 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 50}
Accuracy: 0.6065333333333334 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 100}
Accuracy: 0.7670666666666667 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 250}
Accuracy: 0.8059973226238286 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 500}
Accuracy: 0.8672144288577154 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 1000}
Accuracy: 0.8686072144288577 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 30, 'dataset_datapoints_num': 2000}
Accuracy: 0.4675 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 10}
Accuracy: 0.6611 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 50}
Accuracy: 0.70335 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 100}
Accuracy: 0.7785887096774193 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 250}
Accuracy: 0.8242685370741483 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 500}
Accuracy: 0.8311911911911912 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 1000}
Accuracy: 0.8444912280701754 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 40, 'dataset_datapoints_num': 2000}
Accuracy: 0.5168 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 10}
Accuracy: 0.71792 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 50}
Accuracy: 0.7593131313131313 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 100}
Accuracy: 0.7408192771084338 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 250}
Accuracy: 0.8126693548387097 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 500}
Accuracy: 0.8297447236180905 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 1000}
Accuracy: 0.8457472417251756 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 50, 'dataset_datapoints_num': 2000}
Accuracy: 0.652 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 10}
Accuracy: 0.7491666666666666 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 50}
Accuracy: 0.8316210526315789 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 100}
Accuracy: 0.6749401709401709 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 250}
Accuracy: 0.7619913606911447 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 500}
Accuracy: 0.7167773019271949 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 1000}
Accuracy: 0.842848582129481 cfg =  {'model_name': 'gpt2-medium', 'inference_max_len': 100, 'dataset_datapoints_num': 2000}
Accuracy: 0.12837837837837837 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 10}
Accuracy: 0.33432432432432435 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 50}
Accuracy: 0.442972972972973 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 100}
Accuracy: 0.5644864864864865 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 250}
Accuracy: 0.6218108108108108 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 500}
Accuracy: 0.5470405405405405 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 1000}
Accuracy: 0.622804054054054 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 10, 'dataset_datapoints_num': 2000}
Accuracy: 0.20608108108108109 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 10}
Accuracy: 0.4660810810810811 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 50}
Accuracy: 0.5681081081081081 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 100}
Accuracy: 0.6226756756756757 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 250}
Accuracy: 0.584554054054054 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 500}
Accuracy: 0.6793378378378379 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 1000}
Accuracy: 0.7329290540540541 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 20, 'dataset_datapoints_num': 2000}
Accuracy: 0.2756756756756757 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 10}
Accuracy: 0.5375675675675675 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 50}
Accuracy: 0.5995045045045045 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 100}
Accuracy: 0.6665225225225225 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 250}
Accuracy: 0.705963963963964 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 500}
Accuracy: 0.7319075832589346 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 1000}
Accuracy: 0.7486062851245443 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 30, 'dataset_datapoints_num': 2000}
Accuracy: 0.28986486486486485 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 10}
Accuracy: 0.5788513513513514 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 50}
Accuracy: 0.5928364589078875 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 100}
Accuracy: 0.591972972972973 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 250}
Accuracy: 0.70675 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 500}
Accuracy: 0.6805164382819694 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 1000}
Accuracy: 0.7807664664162406 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 40, 'dataset_datapoints_num': 2000}
Accuracy: 0.3535135135135135 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 10}
Accuracy: 0.5880860452289024 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 50}
Accuracy: 0.6232869232869233 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 100}
Accuracy: 0.6949527841094106 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 250}
Accuracy: 0.7090524259198958 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 500}
Accuracy: 0.6358618437168286 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 1000}
Accuracy: 0.7956369107321966 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 50, 'dataset_datapoints_num': 2000}
Accuracy: 0.5581081081081081 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 10}
Accuracy: 0.6382491186839013 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 50}
Accuracy: 0.6822542322542322 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 100}
Accuracy: 0.563593678424187 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 250}
Accuracy: 0.6893274938051057 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 500}
Accuracy: 0.7496614324908062 cfg =  {'model_name': 'gpt2-large', 'inference_max_len': 100, 'dataset_datapoints_num': 1000}
Accuracy: 0.10510204081632653 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 10}
Accuracy: 0.2612244897959184 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 50}
Accuracy: 0.37642857142857145 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 100}
Accuracy: 0.4843265306122449 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 250}
Accuracy: 0.5515918367346939 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 500}
Accuracy: 0.5964897959183674 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 1000}
Accuracy: 0.6503877551020408 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 10, 'dataset_datapoints_num': 2000}
Accuracy: 0.14846938775510204 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 10}
Accuracy: 0.37979591836734694 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 50}
Accuracy: 0.4498469387755102 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 100}
Accuracy: 0.5814285714285714 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 250}
Accuracy: 0.610265306122449 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 500}
Accuracy: 0.6301836734693878 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 1000}
Accuracy: 0.6789517207583383 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 20, 'dataset_datapoints_num': 2000}
Accuracy: 0.2064625850340136 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 10}
Accuracy: 0.5157142857142857 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 50}
Accuracy: 0.5478571428571428 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 100}
Accuracy: 0.5885714285714285 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 250}
Accuracy: 0.5792244897959183 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 500}
Accuracy: 0.6460102040816327 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 1000}
Accuracy: 0.6932629908820385 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 30, 'dataset_datapoints_num': 2000}
Accuracy: 0.2711734693877551 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 10}
Accuracy: 0.509795918367347 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 50}
Accuracy: 0.5573724489795918 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 100}
Accuracy: 0.6103979591836735 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 250}
Accuracy: 0.6680204081632654 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 500}
Accuracy: 0.662200888379424 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 40, 'dataset_datapoints_num': 1000}
Accuracy: 0.3469387755102041 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 10}
Accuracy: 0.5208979591836734 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 50}
Accuracy: 0.5394285714285715 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 100}
Accuracy: 0.6182034259486927 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 250}
Accuracy: 0.6112470742824293 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 500}
Accuracy: 0.6875723730135918 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 50, 'dataset_datapoints_num': 1000}
Accuracy: 0.5466326530612244 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 100, 'dataset_datapoints_num': 10}
Accuracy: 0.5890022675736961 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 100, 'dataset_datapoints_num': 50}
Accuracy: 0.634607034303083 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 100, 'dataset_datapoints_num': 100}
Accuracy: 0.5659535242668496 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 100, 'dataset_datapoints_num': 250}
Accuracy: 0.6344258042199931 cfg =  {'model_name': 'gpt2-xl', 'inference_max_len': 100, 'dataset_datapoints_num': 500}
